code,csv_file,file_size_kb,name,industry_name
sh.600475,sh_600475.csv,13.701171875,华光环能,未知行业
sh.600476,sh_600476.csv,13.4033203125,湘邮科技,未知行业
sh.600477,sh_600477.csv,12.99609375,杭萧钢构,未知行业
sh.600478,sh_600478.csv,13.0908203125,科力远,未知行业
sh.600479,sh_600479.csv,13.4619140625,千金药业,未知行业
sh.600480,sh_600480.csv,13.6083984375,凌云股份,未知行业
sh.600481,sh_600481.csv,13.138671875,双良节能,未知行业
sh.600482,sh_600482.csv,13.69140625,中国动力,未知行业
sh.600483,sh_600483.csv,13.314453125,福能股份,未知行业
sh.600486,sh_600486.csv,13.4921875,扬农化工,未知行业
sh.600487,sh_600487.csv,13.8359375,亨通光电,未知行业
sh.600488,sh_600488.csv,12.705078125,津药药业,未知行业
sh.600489,sh_600489.csv,13.8525390625,中金黄金,未知行业
sh.600490,sh_600490.csv,13.146484375,鹏欣资源,未知行业
sh.600491,sh_600491.csv,12.794921875,龙元建设,未知行业
sh.600493,sh_600493.csv,12.8173828125,凤竹纺织,未知行业
sh.600495,sh_600495.csv,12.8271484375,晋西车轴,未知行业
sh.600496,sh_600496.csv,12.935546875,精工钢构,未知行业
sh.600497,sh_600497.csv,13.23046875,驰宏锌锗,未知行业
sh.600498,sh_600498.csv,13.8330078125,烽火通信,未知行业
sh.600499,sh_600499.csv,13.2607421875,科达制造,未知行业
sh.600500,sh_600500.csv,12.921875,中化国际,未知行业
sh.600501,sh_600501.csv,13.607421875,航天晨光,未知行业
sh.600502,sh_600502.csv,12.8701171875,安徽建工,未知行业
sh.600503,sh_600503.csv,12.892578125,华丽家族,未知行业
sh.600505,sh_600505.csv,13.537109375,西昌电力,未知行业
sh.600506,sh_600506.csv,13.6416015625,统一股份,未知行业
sh.600507,sh_600507.csv,13.0302734375,方大特钢,未知行业
sh.600508,sh_600508.csv,13.544921875,上海能源,未知行业
sh.600509,sh_600509.csv,13.0498046875,天富能源,未知行业
sh.600510,sh_600510.csv,12.87109375,黑牡丹,未知行业
sh.600511,sh_600511.csv,13.5185546875,国药股份,未知行业
sh.600512,sh_600512.csv,12.5966796875,腾达建设,未知行业
sh.600513,sh_600513.csv,13.669921875,联环药业,未知行业
sh.600515,sh_600515.csv,13.1015625,海南机场,未知行业
sh.600516,sh_600516.csv,13.0244140625,方大炭素,未知行业
sh.600517,sh_600517.csv,13.0341796875,国网英大,未知行业
sh.600518,sh_600518.csv,12.94921875,康美药业,未知行业
sh.600519,sh_600519.csv,14.89453125,贵州茅台,未知行业
sh.600520,sh_600520.csv,13.4541015625,三佳科技,未知行业
sh.600521,sh_600521.csv,13.6767578125,华海药业,未知行业
sh.600522,sh_600522.csv,13.8583984375,中天科技,未知行业
sh.600523,sh_600523.csv,13.4794921875,贵航股份,未知行业
