排名,concept_name,concept_code,latest_price,pct_amount,pct_chg,total_mv,turn,up_count,down_count,leader_stock,leader_pct_chg,fetch_time
464,零售概念,BK1655,935.82,-5.52,-0.59,3151798096000,0.88,16,45,安孚科技,4.05,2026-04-22 14:49:30
465,ST股,BK0511,7624.34,-46.88,-0.61,857436848000,1.82,49,115,*ST赛为,12.68,2026-04-22 14:49:30
466,短剧互动游戏,BK1151,1400.9,-8.64,-0.61,588295312000,4.44,12,23,创维数字,3.64,2026-04-22 14:49:30
467,新零售,BK0825,1040.64,-6.49,-0.62,2406832976000,1.51,31,119,梦洁股份,10.07,2026-04-22 14:49:30
468,TOPCon电池,BK1097,1052.63,-6.58,-0.62,807264784000,4.16,16,24,帝尔激光,10.56,2026-04-22 14:49:30
469,影视概念,BK0847,1024.0,-6.74,-0.65,623615952000,2.94,20,41,东望时代,10.05,2026-04-22 14:49:30
470,上海自贸,BK0643,3637.49,-24.61,-0.67,984825584000,0.58,7,26,芯原股份,7.82,2026-04-22 14:49:30
471,统一大市场,BK1077,1369.85,-9.41,-0.68,410811664000,1.23,7,31,兴通股份,1.07,2026-04-22 14:49:30
472,SPD概念,BK1147,1095.01,-7.58,-0.69,98051320000,2.0,3,10,润达医疗,1.39,2026-04-22 14:49:30
473,水产概念,BK0967,978.94,-7.02,-0.71,232292085000,1.79,3,13,天马科技,3.94,2026-04-22 14:49:30
474,进口博览,BK0850,973.99,-7.17,-0.73,246854555000,0.67,1,14,东方明珠,0.6,2026-04-22 14:49:30
476,抗菌面料,BK1116,1743.11,-13.38,-0.76,149906457000,2.47,4,12,圣泉集团,2.84,2026-04-22 14:49:30
475,净水概念,BK1068,1248.84,-9.53,-0.76,1093963360000,0.79,3,18,狮头股份,2.04,2026-04-22 14:49:30
477,航天航空,BK0480,65376.92,-516.16,-0.78,1572474976000,2.81,14,37,爱乐达,7.19,2026-04-22 14:49:30
478,低价股,BK1053,1186.3,-10.02,-0.84,1582478768000,1.61,32,99,建元信托,8.76,2026-04-22 14:49:30
479,鸡肉概念,BK0887,813.12,-6.95,-0.85,383974688000,1.47,3,16,天马科技,3.94,2026-04-22 14:49:30
480,退税商店,BK0933,1280.55,-11.46,-0.89,151891506000,1.04,2,10,小商品城,1.54,2026-04-22 14:49:30
481,旅游酒店,BK0485,16434.7,-157.71,-0.95,384012976000,2.27,6,32,金马游乐,4.03,2026-04-22 14:49:30
482,举牌,BK0685,3012.47,-31.99,-1.05,108896978000,0.41,2,2,塔牌集团,0.65,2026-04-22 14:49:30
483,资源开采概念,BK1017,1833.97,-19.88,-1.07,380052944000,1.21,5,16,潜能恒信,2.36,2026-04-22 14:49:30
484,旅游概念,BK0692,1716.1,-19.67,-1.13,420300592000,1.95,10,42,*ST天择,2.09,2026-04-22 14:49:30
485,免税概念,BK0927,1297.08,-16.3,-1.24,713632688000,0.71,1,17,招商蛇口,0.58,2026-04-22 14:49:30
486,社区团购,BK0965,896.23,-11.41,-1.26,543193648000,1.36,5,33,龙大美食,2.4,2026-04-22 14:49:30
487,文娱消费,BK1654,982.69,-12.69,-1.27,1243154368000,3.25,19,73,顺网科技,4.69,2026-04-22 14:49:30
488,超跌股,BK1671,1032.02,-22.79,-2.16,54506010000,2.45,4,5,*ST熊猫,3.89,2026-04-22 14:49:30
489,昨日炸板,BK1631,793.91,-17.57,-2.17,96877301000,6.88,5,12,华升股份,2.35,2026-04-22 14:49:30
490,昨日触板,BK0817,24.77,-0.58,-2.29,108862718000,6.82,5,15,华升股份,2.25,2026-04-22 14:49:30
491,船舶制造,BK0729,1377.68,-42.48,-2.99,732994848000,2.66,4,7,中国动力,3.75,2026-04-22 14:49:30
